episode,timestep,reward
2,200,-15.05
4,400,-26.7
6,600,-30.6
8,800,-34.5
10,1000,-29.95
12,1200,-30.6
14,1400,-26.7
16,1600,-28.65
18,1800,-27.75
20,2000,-28.0
22,2200,-11.9
24,2400,-24.1
26,2600,-26.7
28,2800,-23.45
30,3000,-29.95
32,3200,-35.15
34,3400,-22.8
36,3600,-29.95
39,3800,-25.2667
41,4000,-29.3
43,4200,-10.9
45,4400,-28.0
47,4600,-31.9
49,4800,-31.25
51,5000,-28.0
53,5200,-22.15
55,5400,-19.55
57,5600,-27.35
59,5800,-29.3
61,6000,-28.65
63,6200,-28.65
65,6400,-32.55
67,6600,-26.7
69,6800,-35.15
71,7000,-31.9
73,7200,-29.3
75,7400,-29.3
77,7600,-37.75
80,7800,-21.1667
82,8000,-28.0
84,8200,-29.3
86,8400,-25.4
88,8600,-26.7
90,8800,-22.15
92,9000,-22.15
94,9200,-33.85
96,9400,-29.3
98,9600,-18.25
100,9800,-24.1
102,10000,-26.7
104,10200,-26.7
106,10400,-31.9
108,10600,-33.2
110,10800,-13.4
112,11000,-33.85
114,11200,-26.7
116,11400,-29.3
118,11600,-27.35
120,11800,-31.25
122,12000,-28.65
124,12200,-35.8
126,12400,-27.35
128,12600,-35.8
130,12800,-41.65
132,13000,-29.3
135,13200,-19.9333
137,13400,-27.35
139,13600,-26.7
141,13800,-44.25
143,14000,-16.3
145,14200,-27.35
147,14400,-29.3
149,14600,-29.3
151,14800,-43.6
153,15000,-20.2
155,15200,-33.2
157,15400,-33.2
159,15600,-20.2
161,15800,-35.8
163,16000,-22.15
165,16200,-15.6
167,16400,-22.15
169,16600,-35.15
171,16800,-16.1
173,17000,-20.2
175,17200,-25.4
177,17400,-28.65
179,17600,-18.9
181,17800,-20.85
184,18000,-23.3
186,18200,-28.65
188,18400,-29.3
190,18600,-29.3
192,18800,-27.35
194,19000,-26.05
196,19200,-23.45
198,19400,-18.25
200,19600,-33.2
202,19800,-22.8
204,20000,-33.85
206,20200,-29.3
208,20400,-18.1
211,20600,-16.6
213,20800,-25.4
215,21000,-24.1
217,21200,-24.1
219,21400,-24.35
221,21600,-30.6
223,21800,-29.3
225,22000,-24.1
227,22200,-33.2
229,22400,-28.0
231,22600,-26.7
233,22800,-32.55
235,23000,-40.35
237,23200,-32.55
239,23400,-24.75
241,23600,-18.9
243,23800,-28.0
245,24000,-22.8
247,24200,-14.35
249,24400,-31.25
251,24600,-10.15
253,24800,-34.5
255,25000,-18.15
258,25200,-21.2667
260,25400,-25.4
262,25600,-17.6
264,25800,-20.85
266,26000,-20.2
268,26200,-38.4
270,26400,-32.55
272,26600,-24.75
274,26800,-25.4
276,27000,-28.65
278,27200,-29.3
280,27400,-26.7
282,27600,-28.0
284,27800,-26.7
286,28000,-22.8
288,28200,-21.2
290,28400,-20.85
292,28600,-23.45
294,28800,-28.65
296,29000,-26.05
298,29200,-26.05
300,29400,-17.6
302,29600,-31.9
304,29800,-24.15
306,30000,-26.05
309,30200,-15.3667
311,30400,-29.3
314,30600,-17.4
316,30800,-14.95
318,31000,-31.9
320,31200,-21.1
322,31400,-32.55
324,31600,-22.8
326,31800,-20.85
328,32000,-20.2
330,32200,-31.25
332,32400,-25.4
334,32600,-22.15
336,32800,-18.9
338,33000,-33.2
340,33200,-24.1
342,33400,-28.0
344,33600,-24.75
346,33800,-26.7
349,34000,-21.4667
351,34200,-18.9
353,34400,-29.95
355,34600,-28.0
357,34800,-22.15
359,35000,-26.05
361,35200,-28.65
363,35400,-18.9
365,35600,-30.6
367,35800,-31.9
369,36000,-32.55
371,36200,-25.4
373,36400,-23.45
375,36600,-33.85
377,36800,-29.3
379,37000,-27.35
381,37200,-28.65
383,37400,-27.35
385,37600,-20.1
387,37800,-26.7
389,38000,-31.9
391,38200,-27.35
393,38400,-27.35
395,38600,-23.3
397,38800,-21.35
399,39000,-23.45
402,39200,-20.8333
404,39400,-28.0
406,39600,-23.45
408,39800,-24.1
410,40000,-26.7
412,40200,-35.8
414,40400,-26.7
416,40600,-26.05
418,40800,-29.3
420,41000,-35.8
422,41200,-23.45
424,41400,-29.3
426,41600,-29.95
428,41800,-37.75
430,42000,-26.7
432,42200,-27.35
434,42400,-31.25
436,42600,-34.5
438,42800,-22.7
440,43000,-32.55
442,43200,-24.1
444,43400,-32.55
446,43600,-26.7
448,43800,-15.85
451,44000,-14.2667
453,44200,-20.15
455,44400,-27.35
458,44600,-22.8667
460,44800,-23.45
462,45000,-23.45
464,45200,-25.4
466,45400,-22.15
468,45600,-27.35
470,45800,-20.6
472,46000,-24.75
474,46200,-33.85
476,46400,-31.25
478,46600,-26.05
480,46800,-38.4
482,47000,-22.8
484,47200,-42.95
486,47400,-22.15
488,47600,-24.75
490,47800,-28.0
492,48000,-33.2
494,48200,-20.85
496,48400,-27.35
498,48600,-14.4
500,48800,-26.05
502,49000,-35.15
504,49200,-26.7
506,49400,-27.35
508,49600,-26.7
510,49800,-31.9
512,50000,-37.1
514,50200,-26.05
516,50400,-26.05
518,50600,-28.65
520,50800,-35.8
523,51000,-17.4
525,51200,-23.45
527,51400,-37.75
529,51600,-26.0
531,51800,-16.2
533,52000,-29.3
535,52200,-28.0
537,52400,-28.65
539,52600,-39.05
541,52800,-24.1
543,53000,-27.35
545,53200,-23.45
547,53400,-18.95
549,53600,-24.1
551,53800,-18.4
553,54000,-26.7
555,54200,-35.15
557,54400,-20.85
559,54600,-21.5
561,54800,-22.15
563,55000,-22.15
565,55200,-38.4
567,55400,-32.55
570,55600,-21.9
572,55800,-29.95
574,56000,-24.75
576,56200,-24.1
578,56400,-35.15
580,56600,-24.1
582,56800,-21.1
584,57000,-34.5
586,57200,-28.0
588,57400,-28.65
590,57600,-20.2
592,57800,-36.45
594,58000,-29.3
596,58200,-23.45
598,58400,-20.85
600,58600,-28.0
602,58800,-30.6
604,59000,-32.55
606,59200,-24.1
608,59400,-25.4
610,59600,-29.95
612,59800,-31.9
614,60000,-26.7
616,60200,-27.9
618,60400,-31.25
620,60600,-36.45
622,60800,-25.4
624,61000,-25.4
626,61200,-25.4
628,61400,-36.45
630,61600,-34.5
632,61800,-24.75
634,62000,-21.25
636,62200,-28.65
638,62400,-27.35
640,62600,-23.45
642,62800,-18.9
645,63000,-15.5
647,63200,-25.4
649,63400,-20.45
651,63600,-16.3
653,63800,-19.45
655,64000,-28.65
657,64200,-21.5
659,64400,-22.15
661,64600,-29.95
663,64800,-22.8
665,65000,-19.2
667,65200,-26.7
669,65400,-24.1
671,65600,-18.9
673,65800,-26.7
675,66000,-26.7
677,66200,-27.35
679,66400,-32.55
681,66600,-26.7
683,66800,-35.15
686,67000,-17.4
688,67200,-21.65
690,67400,-35.8
692,67600,-26.05
694,67800,-23.45
696,68000,-27.35
698,68200,-23.45
700,68400,-26.7
703,68600,-17.4333
705,68800,-27.9
707,69000,-20.7
709,69200,-29.3
711,69400,-25.4
714,69600,-17.5333
716,69800,-20.95
718,70000,-27.35
