episode,timestep,reward
656,63800,-42.95
658,64000,-20.85
660,64200,-17.6
662,64400,-21.5
664,64600,-35.8
666,64800,-24.1
669,65000,-23.1
671,65200,-18.9
673,65400,-31.9
676,65600,-21.1667
678,65800,-25.4
680,66000,-33.85
682,66200,-22.8
684,66400,-32.55
686,66600,-29.3
688,66800,-20.85
690,67000,-25.4
692,67200,-22.45
694,67400,-35.8
696,67600,-24.75
698,67800,-33.85
700,68000,-36.45
702,68200,-31.05
704,68400,-22.75
707,68600,-18.2333
709,68800,-20.2
711,69000,-17.5
713,69200,-27.35
715,69400,-28.65
717,69600,-29.95
719,69800,-19.8
721,70000,-24.1
723,70200,-31.9
725,70400,-31.9
727,70600,-28.65
729,70800,-31.25
731,71000,-28.0
734,71200,-18.8
736,71400,-28.0
738,71600,-24.75
740,71800,-23.45
742,72000,-26.05
744,72200,-31.25
746,72400,-21.5
748,72600,-26.7
750,72800,-19.7
752,73000,-15.7
755,73200,-21.0
757,73400,-25.4
759,73600,-36.45
761,73800,-22.15
763,74000,-19.55
765,74200,-29.3
767,74400,-25.4
769,74600,-27.35
771,74800,-28.0
773,75000,-27.35
775,75200,-26.05
777,75400,-28.0
779,75600,-35.8
781,75800,-17.6
783,76000,-29.95
785,76200,-25.4
787,76400,-23.45
789,76600,-26.05
791,76800,-32.55
793,77000,-28.65
795,77200,-23.45
797,77400,-28.65
799,77600,-19.5
801,77800,-29.3
803,78000,-18.9
805,78200,-30.6
807,78400,-24.75
809,78600,-21.6
811,78800,-30.6
813,79000,-25.4
815,79200,-38.4
817,79400,-25.7
819,79600,-30.6
821,79800,-26.7
823,80000,-20.45
825,80200,-26.05
827,80400,-26.05
829,80600,-32.55
831,80800,-30.6
834,81000,-23.2
836,81200,-25.4
838,81400,-28.65
840,81600,-27.35
842,81800,-16.95
844,82000,-24.75
846,82200,-27.35
848,82400,-18.25
850,82600,-19.75
852,82800,-34.5
854,83000,-26.05
856,83200,-29.3
858,83400,-29.95
860,83600,-29.95
862,83800,-28.0
864,84000,-30.6
866,84200,-23.3
868,84400,-19.55
870,84600,-27.35
872,84800,-26.7
874,85000,-29.3
876,85200,-30.6
878,85400,-18.0
880,85600,-27.35
882,85800,-28.0
884,86000,-25.4
887,86200,-27.1667
889,86400,-24.5
891,86600,-28.65
893,86800,-28.65
895,87000,-26.7
897,87200,-23.8
899,87400,-28.65
901,87600,-26.7
903,87800,-35.8
905,88000,-25.4
907,88200,-27.35
909,88400,-28.0
911,88600,-22.15
914,88800,-16.1333
916,89000,-22.8
918,89200,-13.65
921,89400,-18.3333
923,89600,-26.05
925,89800,-29.3
927,90000,-28.0
929,90200,-13.95
931,90400,-30.6
933,90600,-37.75
935,90800,-20.85
937,91000,-28.0
939,91200,-25.4
941,91400,-29.95
943,91600,-25.35
945,91800,-31.9
947,92000,-24.75
949,92200,-28.65
951,92400,-23.45
953,92600,-29.3
955,92800,-22.15
957,93000,-32.55
959,93200,-25.4
961,93400,-33.2
963,93600,-28.0
966,93800,-19.5333
968,94000,-22.15
970,94200,-29.3
972,94400,-26.05
974,94600,-29.3
976,94800,-28.0
978,95000,-21.4
980,95200,-26.7
982,95400,-26.7
984,95600,-20.2
986,95800,-17.1
988,96000,-36.45
990,96200,-25.4
993,96400,-21.2667
995,96600,-26.05
997,96800,-26.05
999,97000,-30.6
1001,97200,-26.7
1003,97400,-25.4
1005,97600,-34.5
1007,97800,-24.75
1009,98000,-17.45
1011,98200,-28.65
1013,98400,-32.55
1015,98600,-28.65
1017,98800,-22.8
1019,99000,-23.45
1021,99200,-34.5
1023,99400,-22.8
1025,99600,-20.85
1027,99800,-31.9
1029,100000,-28.65
1031,100200,-25.4
1033,100400,-35.8
1035,100600,-26.05
1037,100800,-29.3
1039,101000,-26.05
1041,101200,-23.5
1043,101400,-22.8
1046,101600,-26.5333
1048,101800,-31.9
1050,102000,-29.3
1052,102200,-33.2
1054,102400,-25.4
1056,102600,-23.4
1058,102800,-28.65
1060,103000,-41.65
1062,103200,-20.85
1064,103400,-31.25
1066,103600,-30.6
1068,103800,-17.55
1070,104000,-25.4
1073,104200,-29.7667
1075,104400,-35.15
1077,104600,-33.2
1079,104800,-32.55
1081,105000,-20.75
1083,105200,-29.3
1085,105400,-26.7
1087,105600,-24.2
1089,105800,-29.3
1091,106000,-24.75
1093,106200,-24.75
1095,106400,-21.5
1097,106600,-22.15
1099,106800,-29.3
1101,107000,-24.75
1103,107200,-28.0
1106,107400,-19.4667
1108,107600,-26.05
1110,107800,-26.7
1112,108000,-23.45
1114,108200,-16.65
1116,108400,-31.25
1118,108600,-29.3
1120,108800,-21.5
1122,109000,-34.5
1124,109200,-29.95
1126,109400,-29.3
1128,109600,-33.2
1130,109800,-28.65
1132,110000,-36.45
1134,110200,-19.55
1136,110400,-33.85
1138,110600,-36.45
1140,110800,-23.3
1142,111000,-30.95
1144,111200,-24.1
1146,111400,-33.2
1148,111600,-33.85
1150,111800,-30.6
1152,112000,-29.95
1154,112200,-31.9
1156,112400,-24.75
1158,112600,-39.7
1160,112800,-24.1
1162,113000,-24.75
1164,113200,-26.7
1166,113400,-28.05
1168,113600,-38.4
1170,113800,-24.1
1172,114000,-28.0
1174,114200,-26.7
1177,114400,-16.5
1179,114600,-29.95
1181,114800,-24.1
1183,115000,-26.05
1185,115200,-27.35
1187,115400,-23.45
1189,115600,-28.0
1191,115800,-28.65
1193,116000,-22.15
1195,116200,-18.5
1197,116400,-32.55
1199,116600,-31.25
1201,116800,-26.7
1203,117000,-29.3
1205,117200,-25.4
1207,117400,-27.35
1209,117600,-35.8
1211,117800,-31.9
1213,118000,-28.0
1215,118200,-26.05
1218,118400,-22.0667
1220,118600,-27.35
1222,118800,-31.9
1224,119000,-23.45
1226,119200,-23.15
1228,119400,-26.05
1230,119600,-37.1
1232,119800,-20.15
1234,120000,-22.15
1237,120200,-17.2667
1239,120400,-29.3
1241,120600,-26.05
1243,120800,-29.3
1245,121000,-33.2
1247,121200,-24.75
1249,121400,-37.1
1251,121600,-20.2
1253,121800,-30.6
1255,122000,-26.05
1257,122200,-24.1
1259,122400,-27.35
1261,122600,-22.8
1263,122800,-29.95
1265,123000,-28.0
1267,123200,-24.1
1269,123400,-21.5
1271,123600,-26.7
1273,123800,-27.35
1275,124000,-20.2
1277,124200,-24.75
1279,124400,-34.5
1281,124600,-24.1
1283,124800,-21.5
1285,125000,-33.85
1287,125200,-22.9
1289,125400,-30.6
1291,125600,-23.45
1293,125800,-23.45
1295,126000,-22.8
1297,126200,-37.75
1299,126400,-9.2
1301,126600,-31.25
1303,126800,-22.15
1305,127000,-30.6
1307,127200,-25.4
1309,127400,-26.05
1311,127600,-20.2
1313,127800,-21.5
1315,128000,-25.4
1317,128200,-27.35
1319,128400,-39.7
1321,128600,-29.95
1324,128800,-22.4
1326,129000,-29.95
1328,129200,-29.95
1330,129400,-31.25
1332,129600,-23.45
1334,129800,-22.8
1336,130000,-32.55
1338,130200,-26.05
1340,130400,-33.85
1342,130600,-22.15
1344,130800,-25.4
1346,131000,-26.05
1348,131200,-29.95
1350,131400,-20.2
1352,131600,-32.55
1354,131800,-28.65
1356,132000,-27.35
1358,132200,-30.6
1360,132400,-35.8
1362,132600,-36.45
1364,132800,-18.5
1366,133000,-23.45
1368,133200,-34.5
1371,133400,-20.1
1373,133600,-31.25
1375,133800,-23.45
1377,134000,-31.25
1379,134200,-31.25
1381,134400,-19.55
1383,134600,-30.6
1385,134800,-26.05
1387,135000,-30.6
1389,135200,-27.35
1391,135400,-33.85
1393,135600,-19.55
1396,135800,-26.9
1398,136000,-26.7
1400,136200,-22.8
1402,136400,-31.25
1404,136600,-26.7
1406,136800,-36.25
1408,137000,-28.65
1410,137200,-15.75
1412,137400,-22.8
1414,137600,-26.05
1416,137800,-29.3
1418,138000,-19.55
1420,138200,-28.0
1422,138400,-31.25
1424,138600,-28.65
1426,138800,-23.45
1428,139000,-25.4
1430,139200,-29.95
1432,139400,-31.25
1434,139600,-31.25
1436,139800,-19.55
1438,140000,-33.85
1440,140200,-15.75
1442,140400,-17.6
1444,140600,-25.4
1446,140800,-35.15
1448,141000,-28.65
1450,141200,-26.7
1452,141400,-28.0
1454,141600,-28.65
1457,141800,-24.1333
1459,142000,-23.45
1461,142200,-30.6
1463,142400,-23.25
1465,142600,-24.1
1467,142800,-26.7
1469,143000,-24.75
1471,143200,-23.85
1473,143400,-31.9
1475,143600,-34.5
1477,143800,-41.0
1479,144000,-24.1
1481,144200,-28.65
1483,144400,-26.7
1485,144600,-28.65
1487,144800,-24.75
1489,145000,-20.8
1491,145200,-26.05
1493,145400,-26.7
1495,145600,-20.2
1497,145800,-32.55
1499,146000,-35.15
1501,146200,-29.3
1503,146400,-25.4
1505,146600,-33.85
1507,146800,-30.6
1509,147000,-28.65
1511,147200,-27.35
1513,147400,-29.95
1515,147600,-28.0
1517,147800,-29.3
1520,148000,-11.4
1522,148200,-31.25
